CONTA;TÍTULO;FUNÇÃO;NATUREZA DO SALDO ;EXEERCÍCIO DO STATUS INATIVA;INDICADOR DO SUPERÁVIT FINANCEIRO ;Nº REGISTRO OBRIG. ;ATRIBUTO OBRIG. - Inclusão (I), Exclusão (E) ou Alteração (A);EXERCÍCIO DA ATUALIZAÇÃO DO ATRIBUTO OBRIGATÓRIO;SISTEMA;DETLAHMENTO SISTEMA;MSC;CONTA CORRENTE;Reduzido;ANALITICA
1144105;APLICAÇÕES EM FUNDOS DO SEGMENTO IMOBILIARIO - RPPS - PLANO EM CAPITALIZAÇÃO;Registra o somatório dos investimentos realizados pelo RPPS com recursos previdenciários, vinculados ao plano em capitalização, em fundos imobiliários. Em conformidade com a Resolução CMN nº 3.922/2010, Art. 8º, inciso VI.;D;;P/F;17;;;;;;;;N
1144106;APLICAÇÕES EM ENQUADRAMENTO - RPPS - PLANO EM CAPITALIZAÇÃO;Registra os investimentos realizados pelo rpps, em desacordo com as regras estabelecidas pelas Resoluções CMN nº 3.922/2010 e 4.392/2014.;D;;P/F;17;;;;;;;;N
1144107;TITULOS E VALORES NAO SUJEITOS AO ENQUADRAMENTO - RPPS - PLANO EM CAPITALIZAÇÃO;Registra os investimentos realizados pelo rpps, em ativos não sujeitos as regras das Resoluções CMN nº 3.922/2010 e 4.392/2014.;D;;P/F;17;;;;;;;;N
1144111;APLICAÇÕES EM SEGMENTO DE RENDA FIXA - RPPS - PLANO EM REPARTIÇÃO;Compreende o somatório dos investimentos realizados pelo RPPS com recursos previdenciários, vinculados ao plano em capitalização, em fundos e ativos de renda fixa. Em conformidade com o art. 7º, da Resolução CMN nº 3.922/2010.;D;;;;;;;;;;;N
114411101;TÍTULOS PÚBLICOS DE EMISSÃO DO TESOURO NACIONAL;"Registra os investimentos realizados pelo RPPS em títulos de emissão do Tesouro Nacional, efetuados em conformidade com a Resolução CMN n° 3.922/2010, Art. 7º, Inciso ""I"",  Alínea ""a"".";D;;P/F;17;;;;;;;;N
114411102;FUNDOS DE INVESTIMENTO QUE APLICAM EXCLUSIVAMENTE EM TÍTULOS DE EMISSÃO DO TESOURO NACIONAL OU COMPROMISSADAS LASTREADAS NESSES TÍTULOS;"Registra os investimentos realizados pelo RPPS, em fundos de investimentos em títulos do tesouro, efetuados em conformidade com a Resolução CMN n° 3.922/2010, Art. 7º, Inciso ""I"",  Alínea ""b"".";D;;P/F;17;;;;;;;;N
114411103;FUNDOS DE INVESTIMENTO EM ÍNDICE DE MERCADO DE RENDA FIXA;"Registra os investimentos realizados pelo RPPS, em ETF renda fixa, efetuados em conformidade com a Resolução CMN n° 3.922/2010 - arts. 7º, I, ""c"" e 7º, III, ""b"".";D;;P/F;17;;;;;;;;N
114411104;OPERAÇÕES COMPROMISSADAS LASTREADAS EM TÍTULOS PÚBLICOS DE EMISSÃO DO TESOURO NACIONAL;"Registra os investimentos realizados pelo RPPS, em operações compromissadas, efetuados em conformidade com a Resolução CMN n° 3.922/2010, Art. 7º, Inciso ""II"".";D;;P/F;17;;;;;;;;N
114411105;FUNDOS DE INVESTIMENTO EM RENDA FIXA;"Registra os investimentos realizados pelos RPPS em fundos de investimentos em renda fixa, efetuados em conformidade com a Resolução CMN n° 3.922/2010 (alterada pela Resolução CMN nº 4.392/2014), Art. 7º, Inciso ""III"",  Alínea ""a"".";D;;P/F;17;;;;;;;;N
114411106;ATIVOS FINANCEIROS DE RENDA FIXA DE EMISSÃO COM OBRIGAÇÃO OU COOBRIGAÇÃO DE INSTITUIÇÃO FINANCEIRA BANCÁRIA;Registra os investimentos realizados pelo RPPS em ativos financeiros emitidos por instituições financeiras bancárias, em conformidade com o inciso V, da Resolução CMN nº 3.922/2010.;D;;P/F;17;;;;;;;;N
114411107;FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;"Registra os investimentos realizados pelo RPPS em fundos de investimentos em direito creditório, efetuados em conformidade com a Resolução CMN n° 3.922/2010, Artigo 7º, Inciso ""VI"".";D;;P/F;17;;;;;;;;N
114411108;"FUNDOS DE INVESTIMENTO EM RENDA FIXA COM SUFIXO ""CRÉDITO PRIVADO""";"Registra os investimentos realizados pelos RPPS em fundos de investimentos em renda fixa - crédito privado, efetuados em conformidade com a Resolução CMN n° 3.922/2010, Art. 7º, Inciso ""VII"",  Alínea ""b"".";D;;P/F;17;;;;;;;;N
114411109;FUNDOS DE INVESTIMENTO DE DEBÊNTURES DE INFRAESTUTURA;"Registra os investimentos realizados pelo RPPS em fundos de investimentos de debêntures de infraestrutura, efetuados em conformidade com a Resolução CMN n° 3.922/2010, Artigo 7º, Inciso ""VII"",  Alínea ""c"".";D;;P/F;17;;;;;;;;N
1144112;APLICAÇÕES EM SEGMENTO DE RENDA VARIAVEL - RPPS - PLANO EM REPARTIÇÃO;Compreende o somatório dos investimentos realizados pelo RPPS com recursos previdenciários, vinculados ao plano em capitalização, em fundos de ações. Em conformidade com o art. 8º, da Resolução CMN nº 3.922/2010.;D;;;;;;;;;;;N
114411201;FUNDOS DE INVESTIMENTO EM AÇÕES;"Registra os investimentos realizados pelo RPPS em fundos de investimentos referenciados, renda variável, efetuados em conformidade com a Resolução CMN n° 3.922/2010 - Art. 8º, Inciso ""I"".";D;;P/F;17;;;;;;;;N
114411202;FUNDOS DE INVESTIMENTO EM ÍNDICE DE MERCADO DE RENDA VARIÁVEL;"Registra os investimentos realizados pelo RPPS em fundos de investimentos referenciados, renda variável, efetuados em conformidade com a Resolução CMN n° 3.922/2010 - Art. 8º, Inciso ""II"".";D;;P/F;17;;;;;;;;N
1144113;APLICAÇÕES DO RPPS EM FUNDOS DE INVESTIMENTO NO EXTERIOR - PLANO EM REPARTIÇÃO;Compreende o somatório dos investimentos realizados pelo RPPS com recursos previdenciários,vinculados ao plano em capitalização, em fundos no exterior. Em conformidade com a Resolução CMN nº 3.922/2010, Art. 9º-A.;D;;;;;;;;;;;N
114411301;"FUNDO DE INVESTIMENTO - ""RENDA FIXA - DÍVIDA EXTERNA""";"Registra os investimentos realizados pelo RPPS em Fundos de Renda Fixa - Devida Externa. Em conformidade com a Resolução CMN nº 3.922/2010, Art. 9º-A, Inciso ""I"".";D;;P/F;17;;;;;;;;N
114411302;"FUNDO DE INVESTIMENTO - SUFIXO ""INVESTIMENTO NO EXTERIOR""";"Registra os investimentos realizados pelo RPPS em Fundos de Investimento - Sufixo Investimento no Exterior. Em conformidade com a Resolução CMN nº 3.922/2010, Art. 9º-A, Inciso ""II"".";D;;P/F;17;;;;;;;;N
114411303;"FUNDOS DE INVESTIMENTO DA CLASSE ""AÇÕES - BDR NÍVEL I""";"Registra os investimentos realizados pelo RPPS em Fundos de Ações BDR Nível 1. Em conformidade com a Resolução CMN nº 3.922/2010, Art. 9º-A, Inciso ""III"".";D;;P/F;17;;;;;;;;N
1144114;APLICAÇÕES EM FUNDOS DE INVESTIMENTO ESTRUTURADOS - RPPS - PLANO EM REPARTIÇÃO;Compreende o somatório dos investimentos realizados pelo RPPS com recursos previdenciários, vinculados ao plano em capitalização, em fundos estruturados. Em conformidade com a Resolução CMN nº 3.922/2010, Art. 8º.;D;;;;;;;;;;;N
114411401;FUNDOS DE INVESTIMENTO MULTIMERCADO;"Registra os investimentos realizados pelo RPPS em fundo de investimentos multimercado, efetuados em conformidade com a Resolução CMN n° 3.922/2010, Art. 8º, Inciso ""III"".";D;;P/F;17;;;;;;;;N
114411402;FUNDOS DE INVESTIMENTOS EM PARTICIPAÇÕES;"Registra os investimentos realizados pelo RPPS em fundo de investimentos multimercado, efetuados em conformidade com a Resolução CMN n° 3.922/2010, Art. 8º, Inciso ""IV"", alínea ""a"".";D;;P/F;17;;;;;;;;N
114411403;"FUNDOS DE INVESTIMENTO - ""AÇÕES - MERCADO DE ACESSO""";"Registra os investimentos realizados pelo RPPS em fundo de investimentos multimercado, efetuados em conformidade com as Resolução CMN n° 3.922/2010, Art. 8º, Inciso ""IV"", alínea ""c"".";D;;P/F;17;;;;;;;;N
1144115;APLICAÇÕES EM FUNDOS DO SEGMENTO IMOBILIARIO - RPPS - PLANO EM REPARTIÇÃO;"Registra o somatório dos investimentos realizados pelo RPPS com recursos previdenciários, vinculados ao plano em capitalização, em fundos imobiliários. Em conformidade com a Resolução CMN nº 3.922/2010, Art. 8º, Inciso ""IV"", alínea ""b"".";D;;P/F;17;;;;;;;;N
1144116;APLICAÇÕES EM ENQUADRAMENTO - RPPS - PLANO EM REPARTIÇÃO;Registra os investimentos realizados pelo RPPS, em desacordo com as regras estabelecidas pelas Resoluções CMN nº 3.922/2010 e 4.392/2014.;D;;P/F;17;;;;;;;;N
1144117;TITULOS E VALORES NAO SUJEITOS AO ENQUADRAMENTO - RPPS - PLANO EM REPARTIÇÃO;Registra os investimentos realizados pelo RPPS, em ativos não sujeitos as regras das Resoluções CMN nº 3.922/2010 e 4.392/2014.;D;;P/F;17;;;;;;;;N
114413;APLICAÇÕES COM A TAXA DE ADMINISTRAÇÃO DO RPPS;Registra os investimentos realizados pelo RPPS, com recursos da taxa de administração, sujeitos  às regras das Resoluções CMN nº 3.922/2010 e 4.392/2014.;D;;P/F;17;;;;;;;;N
1144199;OUTROS INVESTIMENTOS DO RPPS;Registra os valores, realizáveis até 12 (doze) meses da data das demonstrações, de outros títulos e valores mobiliários.;D;;P/F;17;;;;;;;;N
1149105;(-) AJUSTE DE PERDAS ESTIMADAS COM TÍTULOS E VALORES MOBILIÁRIOS - RPPS - PLANO EM CAPITALIZAÇÃO;Registra o ajuste de perdas estimadas, referente aos investimentos em títulos e valores mobiliários do RPPS - plano em capitalização;C;;P/F;17;;;;;;;;N
1149106;(-) AJUSTE DE PERDAS ESTIMADAS COM TÍTULOS E VALORES MOBILIÁRIOS - RPPS - PLANO EM REPARTIÇÃO;Registra o ajuste de perdas estimadas, referente aos investimentos em títulos e valores mobiliários do RPPS - plano em repartição;C;;P/F;17;;;;;;;;N
1149107;(-) REDUÇÃO A VALOR RECUPERÁVEL DE TÍTULOS E VALORES MOBILIÁRIOS RPPS - PLANO EM CAPITALIZAÇÃO;Registra a redução a valor recuperável, referente aos investimentos em títulos e valores mobiliários do RPPS - plano  em capitalização;C;;P/F;17;;;;;;;;N
1149108;(-) REDUÇÃO A VALOR RECUPERÁVEL DE TÍTULOS E VALORES MOBILIÁRIOS RPPS - PLANO EM REPARTIÇÃO;Registra a redução a valor recuperável, referente aos investimentos em títulos e valores mobiliários do RPPS - plano em repartição;C;;P/F;17;;;;;;;;N
1149109;(-) REDUÇÃO A VALOR RECUPERÁVEL DE TÍTULOS E VALORES MOBILIÁRIOS RPPS - ADMINISTRAÇÃO;Registra a redução a valor recuperável, referente aos investimentos em títulos e valores mobiliários do RPPS - plano em repartição;C;;P/F;17;;;;;;;;N
117;ATIVO BIOLÓGICO;Compreende os valores relativos a plantas ou seres vivos que podem se classificados como ativos biológicos cujo ciclo produtivo ocorra  dentro de um prazo de até 12 meses da data das demonstrações.;D;;;;;;;;;;;N
1171;ATIVO BIOLÓGICO;Compreende os valores classificados como ativos biológicos cujo ciclo produtivo ocorra  dentro de um prazo de até 12 meses da data das demonstrações.;D;;;;;;;;;;;N
11711;ATIVO BIOLÓGICO - CONSOLIDAÇÃO;Registra os valores classificados como ativos biológicos cujo ciclo produtivo ocorra  dentro de um prazo de até 12 meses da data das demonstrações. Compreende os saldos que não serão excluídos nos demonstrativos consolidados do orçamento fiscal e da seguridade social (OFSS).;D;;P;15;;;;;;;;N
1211107;CRÉDITOS DE TRANSFERÊNCIAS A RECEBER A LONGO PRAZO ;Registra os valores relativos a créditos a receber oriundos da variação patrimoniais aumentativas decorrentes de transferências da União, estados, Distrito Federal e municípios, consórcios públicos e outras instituições.;D;;P;25;;;;;;;;N
