codfonte;codtce;codstnnovo;codstnantigo;descricao;finalidade
121;121;1622;NADA FAZER;TRANSF. FUNDO A FUNDO REC. SUS MUNICIPIOS;Controle dos recursos originários de transferências dos Fundos de saúde de outros municípios, referentes ao Sistema Único de Saúde (SUS).
122;122;1570;NADA FAZER;TRANSF. DA UNIAO REF. CONVENIOS EDUCAÇÃO;Controle dos recursos originários de transferências em decorrência da celebração de convênios, contratos de repasse e termos de parceria com a União, cuja destinação encontra-se vinculada a programas da educação.
123;123;1631;NADA FAZER;TRANSF. DA UNIAO REF. CONVENIOS SAÚDE;Controle dos recursos originários de transferências em decorrência da celebração de convênios, contratos de repasse e termos de parceria com a União, cuja destinação encontra-se vinculada a programas da saúde.
124;124;1700;NADA FAZER;OUTRAS TRANSFERÊNCIAS DE CONVÊNIOS UNIÃO;Controle dos recursos originários de transferências federais em decorrência da celebração de convênios, contratos de repasse e termos de parceria, cuja destinação encontra-se vinculada aos seus objetos. Não serão controlados por esta fonte os recursos de convênios vinculados a programas da educação, da saúde, da assistência social e da segurança pública.
129;129;1660;NADA FAZER;TRANSFERÊNCIAS DE RECURSOS DO FNAS;Recursos provenientes de transferência da União recebidos pelo Município, referente ao Fundo Nacional de Assistência Social, para aplicação em assistência social.
130;130;1899;NADA FAZER;TRANSF. ACORDO JUDICIAL BARRAGEM FUNDÃO;Controle dos recursos provenientes do acordo judicial de reparação dos impactos socioeconômicos e ambientais do rompimento da Barragem de Fundão.
131;131;1899;NADA FAZER;REP. TARIFÁRIO P. FUN. MUNICIP. SANEAMENTO;Controle dos recursos a que se refere o art. 13 da Lei n° 11.445, de 5 de janeiro de 2007, repassados a fundos municipais de saneamento.
142;142;1665;NADA FAZER;TRANSF. CONV. VINC. À ASSISTENCIA SOCIAL;Recursos provenientes de convênios firmados, com ou sem contraprestação de serviços, por entidades públicas de qualquer espécie, ou entre essas e organizações particulares, para realização de objetivos de interesse comum dos partícipes, e destinados a custear despesas correntes ou de capital relacionadas com as ações e serviços públicos de assistência social.
143;143;1551;NADA FAZER;TRANSFERÊNCIAS DE RECURSOS DO FNDE - PDDE;Recursos de transferências da União para o Município, referentes ao Programa Dinheiro Direto na Escola.
144;144;1552;NADA FAZER;TRANSFERÊNCIAS DE RECURSOS DO FNDE - PNAE;Recursos de transferências da União para o Município, referentes ao Programa Nacional de Alimentação Escolar.
145;145;1553;NADA FAZER;TRANSFERÊNCIAS DE RECURSOS DO FNDE - PNATE;Recursos de transferências da União para o Município, referentes ao Programa Nacional de Apoio ao Transporte Escolar (Lei n° 10.880/2004).
146;146;1569;NADA FAZER;OUTRAS TRANSFERÊNCIAS DE RECURSOS DO FNDE;Recursos de transferência da União para o Município, referentes ao Fundo Nacional do Desenvolvimento da Educação, não classificáveis nos itens anteriores, e que não sejam repassados por meio de convênios.
147;147;1550;NADA FAZER;TRANSFERÊNCIA DO SALÁRIO-EDUCAÇÃO;Recursos de transferências da União para o Município, a título de Salário-Educação, na forma da Lei n° 10.832/2003.
153;153;1601;NADA FAZER;TRANSF. DE REC. DO SUS - BLOCO EST. ASPS;Recursos de transferência do Fundo Nacional de Saúde, destinados as despesas com ações e serviços públicos de saúde, a serem repassados na modalidade fundo a fundo ao munícipios na forma do Bloco de Estruturação da Investimentos na Rede de Serviços Públicos de Saúde, nos termos da Portaria de Consolidação n° 6, de 28 de setembro de 2017, e alterações posteriores.
154;154;1659;NADA FAZER;OUTRAS TRANSFERÊNCIAS DE RECURSOS DO SUS;Recursos de transferência da União para o Município, referentes ao Fundo Nacional de Saúde, não classificáveis nos itens anteriores, e que não sejam repassados por meio de convênios.
155;155;1621;NADA FAZER;TRANSF. DE REC. DO FUNDO ESTADUAL DE SAÚDE;Recursos de transferência do Estado para o Município, referentes ao Fundo Estadual de Saúde, que não sejam repassados por meio de convênios.
156;156;1661;NADA FAZER;TRANSFERENCIAS DE RECURSOS DO FEAS;Recursos provenientes de transferência do Estado recebidos pelo Município, referente ao Fundo Estadual de Assistência Social, para aplicação em assistência social.
157;157;1752;NADA FAZER;MULTAS DE TRÂNSITO;Recursos provenientes de receita arrecadada com a cobrança de multas de trânsito.
158;158;1899;NADA FAZER;CONTRIB. ASSIST. À SAÚDE DOS SERVIDORES;Recursos provenientes da contribuição para a assistência à saúde, recebidos dos empregadores, dos servidores e dos prestadores de serviços contratados.
159;159;1600;NADA FAZER;TRANSF. DE REC. DO SUS - BLOCO MANUT. ASPS;Recursos de transferência do Fundo Nacional de Saúde, destinados as despesas com ações e serviços públicos de saúde, a serem repassados na modalidade fundo a fundo ao munícipios na forma do Bloco de Manutenção Custeio das Ações e Serviços Públicos de Saúde, nos termos da Portaria de Consolidação n° 6, de 28 de setembro de 2017, e alterações posteriores.
160;160;1899;NADA FAZER;TRANSF. DA UNIÃO PARTILHA DE PRODUÇÃO;"Recursos de transferência da União relativos aos valores arrecadados da cessão onerosa do bônus de assinatura do pré-sal, destinados alternativamente para criação de reserva financeira específica para pagamento das despesas previdenciárias com os fundos previdenciários de servidores públicos ou com as contribuições sociais de que tratam as alíneas a e c do parágrafo único do art. 11 da Lei nº 8.212, de 24 de julho de 1991, inclusive os decorrentes do descumprimento de obrigações acessórias e os de contribuições incidentes sobre o décimo terceiro salário, do respectivo ente e de todas as pessoas jurídicas de direito público e privado integrantes de sua administração direta e indireta, ressalvadas as empresas estatais independentes, vincendas até o exercício financeiro do ano subsequente ao ano da transferência de recursos pela União; ou investimento, conforme previsto no § 3° do art.1° da Lei n° 13.885/2019."
161;161;1899;NADA FAZER;AUXÍLIO FINANCEIRO ENFRENTAMENTO À COVID19;Recursos provenientes do auxílio financeiro, destinados às despesas com ações de saúde e assistência social no enfrentamento à Covid-19, conforme disposto no art. 5º, I, b, da Lei Complementar nº 173, de 27 de maio de 2020.
162;162;1899;NADA FAZER;TRANSF. REC. LEI ALDIR BLANC;Recursos de transferência da União destinados a ações emergenciais de apoio ao setor cultural, nos termos da Lei nº 14.017, de 29 de junho de 2020.
163;163;1799;NADA FAZER;TRANSF. DE CONVÊNIOS VINC. À SEGURANÇA PUB.;Recursos provenientes do Fundo Nacional de Segurança Pública recebidos por meio de convênio, de contrato de repasse ou de instrumento congênere, nos termos do disposto no inciso II do caput do artigo 7º da Lei nº 13.756/2018.
164;164;1706;NADA FAZER;TRANSFERÊNCIA ESPECIAL DA UNIÃO;Controle dos recursos transferidos pela União provenientes de emendas individuais impositivas ao orçamento da União, por meio de transferências especiais, nos termos do art. 166-A, inciso I, da Constituição Federal.
165;165;1799;NADA FAZER;OUTROS RECURSOS VINCULADOS;Recursos cuja aplicação seja vinculada e não tenha sido enquadrado em outras especificações.
166;166;1542;NADA FAZER;TRANSFERÊNCIAS DO FUNDEB - VAAT - 70%;Recursos de Complementação da União ao FUNDEB - VAAT, com base no art. 212-A, inciso V, b, da Constituição Federal, destinados ao pagamento da remuneração dos profissionais da educação básica em efetivo exercício.
167;167;1542;NADA FAZER;TRANSFERÊNCIAS DO FUNDEB - VAAT - 30%;Recursos de Complementação da União ao FUNDEB - VAAT, com base no art. 212-A, inciso V, b, da Constituição Federal, destinados ao pagamento de outras despesas da educação básica.
168;168;1899;NADA FAZER;TRANSF. ESP. ESTADO - BARRAGEM BRUMADINHO;Controle dos recursos transferidos pelo Estado, por meio de transferência especial, provenientes do acordo judicial de reparação dos impactos socioeconômicos e ambientais do rompimento de barragem em Brumadinho celebrado com a Vale S.A., de execução orçamentária e financeira obrigatória, conforme disposto no art. 157 do ADCT da Constituição do Estado.
169;169;1710;NADA FAZER;TRANSFERÊNCIA ESPECIAL DOS ESTADOS;Controle dos recursos transferidos pelos Estados provenientes de emendas individuais impositivas ao orçamento desses entes, por meio de transferência especiais, nos termos das constituições estaduais que reproduziram o disposto no art. 166-A, inciso I, da Constituição Federal.
170;170;1501;NADA FAZER;OUTROS RECURSOS NÃO VINCULADOS;Outros recursos não vinculados que não se enquadrem na especificação acima.
171;171;1571;NADA FAZER;TRANSF. DO ESTADO REF. A CONV. EDUCAÇÃO;Controle dos recursos originários de transferências em decorrência da celebração de convênios, contratos de repasse e termos de parceria com os Estados, cuja destinação encontra-se vinculada a programas da educação.
172;172;1572;NADA FAZER;TRANSF. DE MUNICIPIOS REF. CONV. EDUCAÇÃO;Controle dos recursos originários de transferências em decorrência da celebração de convênios, contratos de repasse e termos de parceria com outros municípios, cuja destinação encontra-se vinculada a programas da educação.
173;173;1575;NADA FAZER;TRANSF. DE OUT. ENTID. REF. CONV. SAÚDE;Controle dos recursos originários de transferências de entidades privadas, estrangeiras ou multigovernamentais em virtude de assinatura de convênios, contratos de repasse ou legislações específicas, cuja destinação encontra-se vinculada aos seus objetos. Não serão controlados por esta fonte os recursos de convênios ou contratos de repasse vinculados a programas da educação, da saúde e da assistência social.
174;174;1574;NADA FAZER;OPERAÇÕES DE CRÉDITO VINCULADAS À EDUCAÇÃO;Controle dos recursos originários de operações de crédito, cuja destinação encontra-se vinculada a programas da educação.
175;175;1573;NADA FAZER;ROYALTIES DO PETR. E GÁS NATURAL- EDUCAÇÃO;Controle dos recursos vinculados à Educação, originários de transferências recebidas pelo Município, relativos a Royalties e Participação Especial - Art. 2º da Lei nº 12.858/2013.
176;176;1632;NADA FAZER;TRANSF. DO ESTADO REF. A CONV. SAÚDE;Controle dos recursos originários de transferências em decorrência da celebração de convênios, contratos de repasse e termos de parceria com os Estados, cuja destinação encontra-se vinculada a programas da saúde.
177;177;1633;NADA FAZER;TRANSF. DE MUNICIPIOS REF. CONV. SAÚDE;Controle dos recursos originários de transferências em decorrência da celebração de convênios, contratos de repasse e termos de parceria com outros Municípios, cuja destinação encontra-se vinculada a programas da saúde.
178;178;1636;NADA FAZER;TRANSF. DE OUT. ENTID. REF. CONV. EDUCAÇÃO;Controle dos recursos originários de transferências de entidades privadas, estrangeiras ou multigovernamentais em virtude de assinatura de convênios e instrumentos congêneres, cuja destinação encontra-se vinculada a programas de saúde.
179;179;1634;NADA FAZER;OPERAÇÕES DE CRÉDITO VINCULADAS À SAÚDE;Controle dos recursos originários de operações de crédito, cuja destinação encontra-se vinculada a programas da saúde.
180;180;1635;NADA FAZER;ROYALTIES DO PETR. E GÁS NATURAL- SAÚDE;Controle dos recursos vinculados à Saúde, originários de transferências recebidas pelo Município, relativos a Royalties e Participação Especial - Art. 2º da Lei nº 12.858/2013.
181;181;1701;NADA FAZER;OUTRAS TRANSF. DE CONVÊNIOS DOS ESTADOS;Controle dos recursos originários de transferências estaduais em decorrência da celebração de convênios, contratos de repasse e termos de parceria, cuja destinação encontra-se vinculada aos seus objetos. Não serão controlados por esta fonte os recursos de convênios ou contratos de repasse vinculados a programas da educação, da saúde e da assistência social.
182;182;1702;NADA FAZER;OUTRAS TRANSF. DE CONVÊNIOS DOS MUNICÍPIOS;Controle dos recursos originários de transferências de municípios em decorrência da celebração de convênios, contratos de repasse e termos de parceria, cuja destinação encontra-se vinculada aos seus objetos. Não serão controlados por esta fonte os recursos de convênios ou contratos de repasse vinculados a programas da educação, da saúde e da assistência social.
183;183;1703;NADA FAZER;OUTRAS TRANSF. DE CONVÊNIOS DE OUT. ENTID.;Controle dos recursos originários de transferências de entidades privadas, estrangeiras ou multigovernamentais em virtude de assinatura de convênios, contratos de repasse ou legislações específicas, cuja destinação encontra-se vinculada aos seus objetos. Não serão controlados por esta fonte os recursos de convênios ou contratos de repasse vinculados a programas da educação, da saúde e da assistência social.
184;184;1709;NADA FAZER;TRANSF. DA UNIÃO REF. À COMP. REC. HIDRICOS;Controle dos recursos transferidos pela União, referentes à compensação financeira pela exploração dos recursos hídricos em atendimento às destinações e vedações previstas na legislação.
185;185;1753;NADA FAZER;REC. PROVENIENTE DE TAXAS E CONTRIBUIÇÕES;Controle dos recursos de taxas e contribuições vinculadas conforme legislações específicas.
186;186;1704;NADA FAZER;TRANSF. UNIÃO ROYALTIES PETROLEO E GÁS;Controle dos recursos transferidos pela União, originários da arrecadação de royalties, que não sejam destinados às áreas da saúde ou educação.
187;187;1705;NADA FAZER;TRANSF. ESTADOS  ROYALTIES PETROLEO E GÁS;Controle dos recursos transferidos pelos Estados, originários da arrecadação de royalties, que não sejam destinados às áreas da saúde ou educação.
188;188;1659;NADA FAZER;DIS. CAIXA. VINCULADA A RESTOS A PAGAR - SAUDE;Recursos provenientes dos restos a pagar considerados para fins de aplicação mínima em ações e serviços públicos de saúde e posteriormente cancelados ou prescritos, nos termos dos §§1° e 2° do art. 24 da Lei Complementar n° 141, de 13 de janeiro de 2012, que deverão ser, necessariamente, aplicados em ações e serviços de saúde até o término do exercício seguinte ao do cancelamento ou da prescrição dos respectivos restos a pagar.
189;189;1599;NADA FAZER;DIS. CAIXA. VINCULADA A RESTOS A PAGAR - EDUCAÇÃO;Recursos provenientes dos restos a pagar considerados para fins de aplicação mínima na manutenção e desenvolvimento do ensino e posteriormente cancelados ou prescritos, nos termos do §5° do art. 5° da Instrução Normativa n° 13/2008 com redação alterada pela Instrução Normativa n° 05/2012, que deverão ser, necessariamente, aplicados na manutenção e desenvolvimento do ensino até o término do exercício seguinte ao do cancelamento ou da prescrição dos respectivos restos a pagar.
190;190;1754;NADA FAZER;OPERAÇÕES DE CRÉDITO INTERNAS;Recursos provenientes de contratos firmados entre o Município e o Sistema Financeiro Nacional.
191;191;1754;NADA FAZER;OPERAÇÕES DE CRÉDITO EXTERNAS;Recursos provenientes de contratos firmados entre o Município e o Sistema Financeiro Internacional.
192;192;1755;NADA FAZER;ALIENAÇÃO DE BENS;Recursos provenientes da receita de alienação de bens móveis ou imóveis.
193;193;1898;NADA FAZER;OUTRAS RECEITAS NÃO PRIMÁRIAS;Recursos provenientes de receitas não primárias e não classificadas nos itens anteriores
200;200;2500;NADA FAZER;RECURSOS NÃO VINCULADOS DE IMPOSTOS;Recursos de impostos e transferências de impostos de livre aplicação.
201;201;2500;NADA FAZER;REC. DE IMPOSTOS E TRANSF VINC. À EDUCAÇÃO;Recursos provenientes dos impostos municipais, os quais devem ser classificados no código de receita 1110.00.00 (Impostos), e as transferências de impostos do Estado e União aos Municípios, destinados à educação.
202;202;2500;NADA FAZER;REC. DE IMPOSTOS E TRANSF. VINC. À SAÚDE;Recursos provenientes dos impostos municipais, os quais devem ser classificados no código de receita 1110.00.00 (Impostos), e as transferências de impostos do Estado e União aos Municípios, destinados à saúde.
203;203;2800;NADA FAZER;REC. VINC. AO RPPS FUNDO EM CAPITALIZAÇÃO;Controle dos recursos vinculados ao fundo em capitalização do RPPS. Esse plano existe tanto nos entes que segregaram quanto nos que não segregaram a massa dos segurados, observando-se o disposto na Portaria MF nº 464/2018.
204;204;2801;NADA FAZER;REC. VINC. AO RPPS FUNDO EM CAPITALIZAÇÃO;Controle dos recursos vinculados ao fundo em repartição do RPPS. Esse plano deve existir somente nos entes que segregaram a massa dos segurados, observando-se o disposto na Portaria MF nº 464/2018.
205;205;2802;NADA FAZER;TAXA DE ADMINISTRAÇÃO DO RPPS.;Recursos provenientes da Taxa de Administração, estabelecida em lei, em até dois pontos percentuais do valor total das remunerações, proventos e pensões dos segurados vinculados ao RPPS, relativo ao exercício financeiro anterior, para cobertura das despesas do RPPS, conforme disposto no art. 15 da Portaria MPS n° 402, de 10 de dezembro de 2008.
206;206;2599;NADA FAZER;TRANSFERÊNCIAS DE RECURSOS PARA O PTE;Recursos de transferências do Estado, de forma direta, para o transporte de estudantes residentes em zonas rurais.
207;207;2544;NADA FAZER;PRECATÓRIOS DO FUNDEF;Recursos de transferências da União em decorrência de decisão judicial que versem sobre diferenças na complementação, devida pela União, no âmbito do Fundo de Manutenção e Desenvolvimento do Ensino Fundamental e de Valorização do Magistério - FUNDEF, pagas por meio de precatórios.
208;208;2708;NADA FAZER;COMPENSAÇÃO FINAN. DE REC. MINERAIS(CFEM);Recursos provenientes de compensação financeira pela exploração de recursos minerais estabelecida pela Lei n° 7.990, de 28/12/1989.
212;212;2659;NADA FAZER;SERVIÇOS DE SAÚDE;Recursos provenientes da receita da remuneração por serviços produzidos, decorrentes da prestação de serviços de saúde, hospitalares, gerais ou especializados, maternidade, centro de reabilitação, assistência médico-odontológica (inclusive ambulatorial), saúde pública etc. Esta classificação contempla ainda os recursos do Sistema Único de Saúde (SUS) pagos diretamente pela União aos prestadores do serviço de saúde.
213;213;2599;NADA FAZER;SERVIÇOS EDUCACIONAIS;Recursos provenientes da arrecadação de receitas auferidas pelas atividades do sistema educacional, cuja natureza esteja diretamente relacionada à formação do educando (matrículas, anuidades etc.). As receitas de atividades auxiliares, de apoio ou derivadas dos serviços educacionais propriamente ditos, devem ser classificadas nos títulos apropriados. Exemplos: matrículas e anuidades, serviços educacionais, serviço de credenciamento, autorização e reconhecimento de cursos, tarifas de expedição de documentos, fotocópias, cópias heliográficas etc.
216;216;2750;NADA FAZER;CONTRIB. DE INTERV. DO DOMÍNIO ECO. (CIDE);Recursos provenientes das receitas recebidas pelos Municípios através de transferências constitucionais da contribuição de intervenção no domínio econômico (Emenda Constitucional n° 42, de 19/12/2003).
217;217;2751;NADA FAZER;CONTRIB. CUSTEIO SERV. ILUMI. PUB. (COSIP);Recursos provenientes da arrecadação das contribuições para o custeio dos serviços de iluminação pública nos Municípios, nos termos do art. 149-A da Constituição da República, com redação dada pela Emenda Constitucional n° 39, de 19/12/2002.
218;218;2540;NADA FAZER;TRANSFERÊNCIAS DO FUNDEB - 70%;Recursos provenientes de transferências recebidas diretamente do FUNDEB pelos Municípios, independentemente do valor que foi deduzido no ente para a formação do fundo, destinadas à aplicação na remuneração dos profissionais do magistério da educação básica, em efetivo exercício.
219;219;2540;NADA FAZER;TRANSFERÊNCIAS DO FUNDEB - 30%;Recursos provenientes de transferências recebidas diretamente do FUNDEB pelos Municípios, independentemente do valor que foi deduzido no ente para a formação do fundo, destinados a custear despesas com a educação básica, não relacionadas no item anterior.
220;220;2576;NADA FAZER;TRANSF. DE REC. EST. PROGRAMAS EDUCAÇÃO;Controle dos recursos transferidos pelos Estados para programas de educação, que não decorram de celebração de convênios, contratos de repasse e termos de parceria.
221;221;2622;NADA FAZER;TRANSF. FUNDO A FUNDO REC. SUS MUNICIPIOS;Controle dos recursos originários de transferências dos Fundos de saúde de outros municípios, referentes ao Sistema Único de Saúde (SUS).
222;222;2570;NADA FAZER;TRANSF. DA UNIAO REF. CONVENIOS EDUCAÇÃO;Controle dos recursos originários de transferências em decorrência da celebração de convênios, contratos de repasse e termos de parceria com a União, cuja destinação encontra-se vinculada a programas da educação.
223;223;2631;NADA FAZER;TRANSF. DA UNIAO REF. CONVENIOS SAÚDE;Controle dos recursos originários de transferências em decorrência da celebração de convênios, contratos de repasse e termos de parceria com a União, cuja destinação encontra-se vinculada a programas da saúde.
224;224;2700;NADA FAZER;OUTRAS TRANSFERÊNCIAS DE CONVÊNIOS UNIÃO;Controle dos recursos originários de transferências federais em decorrência da celebração de convênios, contratos de repasse e termos de parceria, cuja destinação encontra-se vinculada aos seus objetos. Não serão controlados por esta fonte os recursos de convênios vinculados a programas da educação, da saúde, da assistência social e da segurança pública.
229;229;2660;NADA FAZER;TRANSFERÊNCIAS DE RECURSOS DO FNAS;Recursos provenientes de transferência da União recebidos pelo Município, referente ao Fundo Nacional de Assistência Social, para aplicação em assistência social.
230;230;2899;NADA FAZER;TRANSF. ACORDO JUDICIAL BARRAGEM FUNDÃO;Controle dos recursos provenientes do acordo judicial de reparação dos impactos socioeconômicos e ambientais do rompimento da Barragem de Fundão.
231;231;2899;NADA FAZER;REP. TARIFÁRIO P. FUN. MUNICIP. SANEAMENTO;Controle dos recursos a que se refere o art. 13 da Lei n° 11.445, de 5 de janeiro de 2007, repassados a fundos municipais de saneamento.
242;242;2665;NADA FAZER;TRANSF. CONV. VINC. À ASSISTENCIA SOCIAL;Recursos provenientes de convênios firmados, com ou sem contraprestação de serviços, por entidades públicas de qualquer espécie, ou entre essas e organizações particulares, para realização de objetivos de interesse comum dos partícipes, e destinados a custear despesas correntes ou de capital relacionadas com as ações e serviços públicos de assistência social.
243;243;2551;NADA FAZER;TRANSFERÊNCIAS DE RECURSOS DO FNDE - PDDE;Recursos de transferências da União para o Município, referentes ao Programa Dinheiro Direto na Escola.
244;244;2552;NADA FAZER;TRANSFERÊNCIAS DE RECURSOS DO FNDE - PNAE;Recursos de transferências da União para o Município, referentes ao Programa Nacional de Alimentação Escolar.
245;245;2553;NADA FAZER;TRANSFERÊNCIAS DE RECURSOS DO FNDE - PNATE;Recursos de transferências da União para o Município, referentes ao Programa Nacional de Apoio ao Transporte Escolar (Lei n° 10.880/2004).
246;246;2569;NADA FAZER;OUTRAS TRANSFERÊNCIAS DE RECURSOS DO FNDE;Recursos de transferência da União para o Município, referentes ao Fundo Nacional do Desenvolvimento da Educação, não classificáveis nos itens anteriores, e que não sejam repassados por meio de convênios.
247;247;2550;NADA FAZER;TRANSFERÊNCIA DO SALÁRIO-EDUCAÇÃO;Recursos de transferências da União para o Município, a título de Salário-Educação, na forma da Lei n° 10.832/2003.
253;253;2601;NADA FAZER;TRANSF. DE REC. DO SUS - BLOCO EST. ASPS;Recursos de transferência do Fundo Nacional de Saúde, destinados as despesas com ações e serviços públicos de saúde, a serem repassados na modalidade fundo a fundo ao munícipios na forma do Bloco de Estruturação da Investimentos na Rede de Serviços Públicos de Saúde, nos termos da Portaria de Consolidação n° 6, de 28 de setembro de 2017, e alterações posteriores.
254;254;2659;NADA FAZER;OUTRAS TRANSFERÊNCIAS DE RECURSOS DO SUS;Recursos de transferência da União para o Município, referentes ao Fundo Nacional de Saúde, não classificáveis nos itens anteriores, e que não sejam repassados por meio de convênios.
255;255;2621;NADA FAZER;TRANSF. DE REC. DO FUNDO ESTADUAL DE SAÚDE;Recursos de transferência do Estado para o Município, referentes ao Fundo Estadual de Saúde, que não sejam repassados por meio de convênios.
256;256;2661;NADA FAZER;TRANSFERENCIAS DE RECURSOS DO FEAS;Recursos provenientes de transferência do Estado recebidos pelo Município, referente ao Fundo Estadual de Assistência Social, para aplicação em assistência social.
257;257;2752;NADA FAZER;MULTAS DE TRÂNSITO;Recursos provenientes de receita arrecadada com a cobrança de multas de trânsito.
258;258;2899;NADA FAZER;CONTRIB. ASSIST. À SAÚDE DOS SERVIDORES;Recursos provenientes da contribuição para a assistência à saúde, recebidos dos empregadores, dos servidores e dos prestadores de serviços contratados.
259;259;2600;NADA FAZER;TRANSF. DE REC. DO SUS - BLOCO MANUT. ASPS;Recursos de transferência do Fundo Nacional de Saúde, destinados as despesas com ações e serviços públicos de saúde, a serem repassados na modalidade fundo a fundo ao munícipios na forma do Bloco de Manutenção Custeio das Ações e Serviços Públicos de Saúde, nos termos da Portaria de Consolidação n° 6, de 28 de setembro de 2017, e alterações posteriores.
